index,timestamp,mq9,mq135
353,384423,71,70
354,385428,70,73
355,386433,74,75
356,387438,66,80
357,388443,73,74
358,389448,76,70
359,390517,70,84
360,391522,67,71
361,392527,71,65
362,393532,65,80
363,394537,67,79
364,395542,76,74
365,396547,80,75
366,397619,69,75
367,398624,64,71
368,399629,80,75
369,400634,70,95
370,401639,80,80
371,402644,80,80
372,403649,77,80
373,404719,74,69
374,405724,78,72
375,406729,68,73
376,407734,75,74
377,408739,66,70
378,409744,71,75
379,410749,74,80
380,411816,73,78
381,412821,70,79
382,413826,74,80
383,414831,70,80
384,415836,75,62
385,416841,79,80
386,417846,75,74
387,418851,68,70
388,419921,75,80
389,420926,64,71
390,421931,63,64
391,422936,72,83
392,423941,67,74
393,424946,71,79
394,425951,75,81
395,427021,68,77
396,428026,77,80
397,429031,65,74
398,430036,63,65
399,431041,64,82
400,432046,70,71
401,433051,74,70
402,434119,73,73
403,435124,69,76
404,436129,78,67
405,437134,84,70
406,438139,77,65
407,439144,73,80
408,440149,67,74
409,441218,69,76
410,442223,73,65
411,443228,69,82
412,444233,69,76
413,445238,72,80
414,446243,71,74
415,447248,69,71
416,448253,63,71
417,449325,69,68
418,450330,77,83
419,451335,65,69
420,452340,65,75
421,453345,79,76
422,454350,71,64
423,455355,70,73
424,456428,70,76
425,457433,73,64
426,458438,69,80
427,459443,70,71
428,460448,70,64
429,461453,69,64
430,462458,67,69
431,463527,66,84
432,464532,68,75
433,465537,68,79
434,466542,71,73
435,467547,74,80
436,468552,75,74
437,469557,74,80
438,470562,75,78
439,471634,64,67
440,472639,66,81
441,473644,75,79
442,474649,76,67
443,475654,68,80
444,476659,64,75
445,477664,79,79
446,478730,76,73
447,479735,73,69
448,480740,80,69
449,481745,68,69
450,482750,71,65
451,483755,68,64
452,484760,73,67
453,485831,77,72
454,486836,77,78
455,487841,67,82
456,488846,77,66
457,489851,77,69
458,490856,69,74
459,491861,74,69
460,492932,66,71
461,493937,69,71
462,494942,69,80
463,495947,69,75
464,496952,74,77
465,497957,77,75
466,498962,73,64
467,499967,67,82
468,501039,69,74
469,502044,70,76
470,503049,68,71
471,504054,72,64
472,505059,77,69
473,506064,74,78
474,507069,71,70
475,508141,70,78
476,509146,67,78
477,510151,69,66
478,511156,71,73
479,512161,63,64
480,513166,71,61
481,514171,73,78
482,515243,68,89
483,516248,69,80
484,517253,69,75
485,518258,64,80
486,519263,68,80
487,520269,65,59
488,521274,64,61
489,522343,67,64
490,523348,73,80
491,524353,67,71
492,525358,74,78
493,526363,71,74
494,527368,72,75
495,528373,73,60
496,529378,79,71
497,530445,66,67
498,531450,67,70
499,532455,67,80
500,533460,77,59
501,534465,65,71
502,535470,73,70
503,536475,76,80
504,537548,72,73
505,538553,72,75
506,539558,64,67
507,540563,69,69
508,541568,77,71
509,542573,68,80
510,543578,69,69
511,544648,71,70
512,545653,65,75
513,546658,64,70
514,547663,66,80
515,548668,77,70
516,549673,64,65
517,550678,66,81
518,551684,77,69
519,552754,71,64
520,553759,74,80
521,554764,70,65
522,555769,69,74
523,556774,69,62
524,557779,78,71
525,558784,65,67
526,559853,76,68
527,560858,65,80
528,561863,66,74
529,562868,73,64
530,563873,64,77
531,564878,69,74
532,565883,64,76
533,566951,71,74
534,567957,69,66
535,568962,68,69
536,569967,71,66
537,570972,66,80
538,571977,80,80
539,572982,67,77
540,574051,74,77
541,575056,79,70
542,576061,68,64
543,577066,77,76
544,578071,80,74
545,579076,65,55
546,580081,69,64
547,581086,66,75
548,582155,67,73
549,583160,77,72
550,584166,65,75
551,585171,71,74
552,586176,60,64
553,587181,77,81
554,588186,71,61
555,589255,80,76
556,590260,66,71
557,591265,74,79
558,592270,70,81
559,593275,75,78
560,594280,79,55
561,595285,78,71
562,596348,75,65
563,597353,65,78
564,598358,64,63
565,599364,61,75
566,600369,66,80
567,601374,65,69
568,602379,64,71
569,603450,70,69
570,604455,67,73
571,605460,71,75
572,606465,72,75
573,607470,71,68
574,608475,64,82
575,609480,69,58
576,610485,69,77
577,611556,77,70
578,612561,78,64
579,613566,73,65
580,614571,75,73
581,615576,69,64
582,616581,65,81
583,617586,63,74
584,618658,64,65
585,619663,76,64
586,620668,64,78
587,621673,68,75
588,622678,70,57
589,623683,66,64
590,624688,68,68
591,625757,69,71
592,626762,74,68
593,627767,71,73
594,628772,76,77
595,629777,73,77
596,630782,69,69
597,631787,68,65
598,632859,66,79
599,633864,65,69
600,634869,74,74
601,635874,67,69
602,636879,59,69
603,637884,73,76
604,638889,71,68
605,639894,68,71
606,640963,72,70
607,641968,66,70
608,642973,65,73
609,643978,71,74
610,644983,73,67
611,645988,73,75
612,646994,69,65
613,648064,79,75
614,649069,74,73
615,650074,72,64
616,651079,68,66
617,652084,80,70
618,653089,67,64
619,654094,68,73
620,655162,67,61
621,656167,69,65
622,657172,75,67
623,658177,78,64
624,659182,64,62
625,660187,74,78
626,661192,65,74
627,662197,64,74
628,663268,71,68
629,664273,66,70
630,665278,71,65
631,666283,64,64
632,667288,74,71
633,668293,73,61
634,669298,67,64
635,670368,65,66
636,671373,64,79
637,672378,67,74
638,673383,70,64
639,674388,68,65
640,675393,70,71
641,676398,64,67
642,677466,74,64
643,678471,68,67
644,679477,66,59
645,680482,64,64
646,681487,65,71
647,682492,74,65
648,683497,69,80
649,684570,70,62
650,685575,70,77
651,686580,77,64
652,687585,71,59
653,688590,67,76
654,689595,70,74
655,690600,75,73
656,691605,60,76
657,692673,64,64
658,693678,75,70
659,694684,64,62
660,695689,71,58
661,696694,70,70
662,697699,63,71
663,698704,67,63
664,699770,64,72
665,700775,69,70
666,701780,64,77
667,702785,75,67
668,703790,69,64
669,704795,73,61
670,705800,67,65
671,706866,65,72
672,707871,65,69
673,708876,70,70
674,709881,70,60
675,710887,70,64
676,711892,69,71
677,712897,68,71
678,713960,67,62
679,714965,64,64
680,715970,73,67
681,716975,76,73
682,717980,71,58
683,718985,71,68
684,719990,67,62
685,720995,67,64
686,722066,73,54
687,723071,69,77
688,724076,70,61
689,725081,66,65
690,726086,71,64
691,727092,62,79
692,728097,76,69
693,729171,76,73
694,730176,75,67
695,731181,79,77
696,732186,69,65
697,733191,69,64
698,734196,69,61
699,735201,64,69
700,736272,70,62
701,737277,65,80
702,738282,77,71
703,739287,73,71
704,740292,69,76
705,741297,71,78
706,742303,71,67
707,743375,70,66
708,744380,78,77
709,745385,67,69
710,746390,65,69
711,747395,74,72
712,748400,69,73
713,749405,71,67
714,750410,68,66
715,751485,69,57
716,752490,70,73
717,753495,71,64
718,754500,68,67
719,755505,66,68
720,756510,66,77
721,757515,65,72
722,758589,64,71
723,759594,67,66
