datetime,timestamp_ms,mq9_value,mq135_value
1970-01-01 00:09:28.033,568033,91,33
1970-01-01 00:01:10.050,70050,77,19
1970-01-01 00:09:30.002,570002,83,31
1970-01-01 00:01:12.014,72014,85,35
1970-01-01 00:09:31.082,571082,80,27
1970-01-01 00:01:13.100,73100,80,26
1970-01-01 00:09:32.162,572162,82,27
1970-01-01 00:01:14.180,74180,87,23
1970-01-01 00:09:33.242,573242,91,32
1970-01-01 00:01:15.260,75260,80,26
1970-01-01 00:09:34.322,574322,86,26
1970-01-01 00:01:16.340,76340,80,35
1970-01-01 00:09:35.402,575402,89,28
1970-01-01 00:01:17.420,77420,75,17
1970-01-01 00:09:36.492,576492,87,29
1970-01-01 00:01:18.510,78510,84,34
1970-01-01 00:09:37.582,577582,85,27
1970-01-01 00:01:19.600,79600,80,30
1970-01-01 00:09:38.662,578662,86,27
1970-01-01 00:01:20.680,80680,80,23
1970-01-01 00:09:39.752,579752,89,25
1970-01-01 00:01:21.770,81770,79,14
1970-01-01 00:09:40.842,580842,90,37
1970-01-01 00:01:22.860,82860,81,24
1970-01-01 00:09:41.942,581942,83,29
1970-01-01 00:01:23.960,83960,83,26
1970-01-01 00:09:43.032,583032,82,32
1970-01-01 00:01:25.050,85050,80,25
1970-01-01 00:09:44.122,584122,91,18
1970-01-01 00:01:26.140,86140,80,32
1970-01-01 00:09:45.222,585222,85,30
1970-01-01 00:01:27.223,87223,91,29
1970-01-01 00:09:46.312,586312,86,30
1970-01-01 00:01:28.321,88321,89,28
1970-01-01 00:09:47.402,587402,87,26
1970-01-01 00:01:29.420,89420,81,26
1970-01-01 00:09:48.512,588512,83,30
1970-01-01 00:01:30.520,90520,84,16
1970-01-01 00:09:49.602,589602,85,37
1970-01-01 00:01:31.610,91610,82,31
1970-01-01 00:09:50.692,590692,93,26
1970-01-01 00:01:32.700,92700,80,23
1970-01-01 00:09:51.802,591802,89,32
1970-01-01 00:01:33.820,93820,82,29
1970-01-01 00:09:52.912,592912,87,29
1970-01-01 00:01:34.920,94920,87,29
1970-01-01 00:09:54.012,594012,85,26
1970-01-01 00:01:36.020,96020,83,22
1970-01-01 00:09:55.122,595122,80,27
1970-01-01 00:01:37.140,97140,83,23
1970-01-01 00:09:56.242,596242,83,32
1970-01-01 00:01:38.260,98260,81,25
1970-01-01 00:09:57.362,597362,89,31
1970-01-01 00:01:39.370,99370,85,32
1970-01-01 00:09:58.462,598462,86,27
1970-01-01 00:01:40.471,100471,82,21
1970-01-01 00:09:59.562,599562,80,26
1970-01-01 00:01:41.573,101573,87,31
1970-01-01 00:10:00.675,600675,80,27
1970-01-01 00:01:42.700,102700,88,35
1970-01-01 00:10:01.802,601802,81,27
1970-01-01 00:01:43.820,103820,91,32
1970-01-01 00:10:03.802,603802,80,25
1970-01-01 00:01:45.814,105814,81,32
1970-01-01 00:10:04.892,604892,80,32
1970-01-01 00:01:46.910,106910,80,16
1970-01-01 00:10:06.002,606002,87,21
1970-01-01 00:01:48.020,108020,84,27
1970-01-01 00:10:07.112,607112,85,27
1970-01-01 00:01:49.130,109130,81,32
1970-01-01 00:10:08.222,608222,82,23
1970-01-01 00:01:50.240,110240,80,23
1970-01-01 00:10:09.332,609332,89,25
1970-01-01 00:01:51.350,111350,85,30
1970-01-01 00:10:10.432,610432,81,16
1970-01-01 00:01:52.450,112450,86,32
1970-01-01 00:10:11.542,611542,87,30
1970-01-01 00:01:53.560,113560,89,32
1970-01-01 00:10:12.642,612642,81,26
1970-01-01 00:01:54.660,114660,81,33
1970-01-01 00:10:13.752,613752,84,29
1970-01-01 00:01:55.770,115770,78,19
1970-01-01 00:10:14.862,614862,87,32
1970-01-01 00:01:56.880,116880,85,33
1970-01-01 00:10:15.972,615972,85,30
1970-01-01 00:01:57.984,117984,91,32
1970-01-01 00:10:17.085,617085,76,23
1970-01-01 00:01:59.100,119100,80,17
1970-01-01 00:10:18.202,618202,85,22
1970-01-01 00:02:00.220,120220,85,31
1970-01-01 00:10:19.322,619322,87,21
1970-01-01 00:02:01.340,121340,94,27
1970-01-01 00:10:20.442,620442,84,30
1970-01-01 00:02:02.460,122460,82,25
1970-01-01 00:10:21.552,621552,86,27
1970-01-01 00:02:03.570,123570,81,23
1970-01-01 00:10:22.672,622672,95,21
1970-01-01 00:02:04.690,124690,80,27
1970-01-01 00:10:23.792,623792,74,27
1970-01-01 00:02:05.810,125810,80,22
1970-01-01 00:10:24.912,624912,85,30
1970-01-01 00:02:06.930,126930,80,20
1970-01-01 00:10:26.032,626032,86,27
1970-01-01 00:02:08.050,128050,86,29
1970-01-01 00:10:27.162,627162,85,30
1970-01-01 00:02:09.174,129174,80,31
1970-01-01 00:10:28.277,628277,81,28
1970-01-01 00:02:10.300,130300,88,29
1970-01-01 00:10:29.412,629412,83,27
1970-01-01 00:02:11.430,131430,86,28
1970-01-01 00:10:30.542,630542,83,26
1970-01-01 00:02:12.560,132560,81,27
1970-01-01 00:10:31.672,631672,86,30
1970-01-01 00:02:13.690,133690,72,22
1970-01-01 00:10:32.802,632802,84,23
1970-01-01 00:02:14.820,134820,77,26
1970-01-01 00:10:33.942,633942,84,27
1970-01-01 00:02:15.950,135950,90,30
